name,name_en,category,website,address,city,geometry,info,info_en,email,phone
Simons sykkelverksted,Simons sykkelverksted,tools,https://repp1.no/,Andreas Linds gate 9,9406 Harstad,"16.538879011090717, 68.79668582526716","Mobilt sykkelverskted, service der du er! Slik fungerer det: Du slipper å pakke sykkelen inn i bilen eller trille den til byen. Du kan i stedet stå i stuevinduet med en kaffekopp og se på at jobben blir gjort i din egen oppkjørsel.","Mobile bike workshop, service wherever you are! Here’s how it works: You don’t have to load your bike into the car or wheel it into town. Instead, you can stand by your living‑room window with a cup of coffee and watch the job get done right in your own driveway",simon@repp1.no,
Turbua,Turbua,sports,https://www.bua.no/utlansordninger/turbua-harstad,Andreas Linds gate 9,9406 Harstad,"16.540555904485764, 68.80418455260128",Lån gratis utstyr til aktivitet og friluftsliv for en begrenset tidsperiode. Utvalg finner du via hjemmesiden. ,Borrow free equipment for activities and outdoor recreation for a limited time-period. The selection of equipment can be found on the website.,turbua.harstad@gmail.com,(+47) 46940135
Fretex bruktbutikk,Fretex second hand store,clothes,https://www.fretex.no/handle/finn-butikk/fretex-harstad/,Storgata 34,9406 Harstad,"16.536952999762526, 68.7964010744227","Her kan man kjøpe brukte klær, møbler, spill og leker og mye mer. Man kan også levere brukte ting man har ikke lenger bruk for.","Here you can buy second-hand clothes, interior items, games, and toys and more. You can also deliver second-hand items you no longer have need for.",hei@fretex.no,(+47) 23681170
Explore Harstad,Explore Harstad,events,https://www.exploreharstad.no/category/aktiviteter/sommer/utleie/,Sjøgata 3,9405 Harstad ,"16.544393388983348, 68.80092952994784","Explore Harstad er en opplevelsesbedrift i Harstad som gjør sitt ytterste for å skape gode og spennende eventyr året rundt. I tillegg til dette er det mulig å leie utstyr som sykkel, kajakk og ski. ","Explore Harstad is an adventure company in Harstad that goes above and beyond to create great and exciting adventures year-round. In addition to this, it is possible to rent equipment such as bikes, kayaks, and skis.",booking@exploreharstad.no,(+47) 95094200
Fru Pigalopps Skattkammer,Fru Pigalopps second hand store,clothes,https://frupigalopp.no/,Strandgata 12a,9405 Harstad,"16.543594627032505, 68.80088429894604","Koselig gjenbruksbutikk hvor man kan kjøpe klær, møbler, interiør greier, og mye mer. Har også nettbutikk.","Cozy second-hand store with clothes, furniture and more. Has also an internett store.",post@frupigalopp.no,(+47) 400 00 131
Askeladden Ressurssenter ,Askeladden secondhand-store ,clothes ,https://www.askeladdenbruktbutikk.no/,Skolegata 11b ,9404 Harstad,"14.132406969510779, 66.30460659218718","Askeladden Bruktbutikk AS, etablert i 1993, spesialiserer seg på kjøp og salg av dødsbo, konkursbo og enkeltgjenstander. Butikken tilbyr også rydding og søppelhåndtering, og er et naturlig valg for gjenbruk og bærekraftige løsninger.","Askeladden Bruktbutikk AS, established in 1993, specializes in the purchase and sale of estates, bankruptcy assets, and individual items. The store also offers clearing and waste disposal services, making it a natural choice for reuse and sustainable solutions.",post@askeladdenbruktbutikk.no,(+47) 90824256
Kirppis Harstad,Kirppis Harstad,clothes,https://www.kirppis.no/?fbclid=IwY2xjawRVxXZleHRuA2FlbQIxMABicmlkETFwbjFNMkhKUHNxbzBXWld6c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHr77LKUoYAh3LDEozHoRXHImzz3Ft3E4VFwELL-cPcGLxWeSuMAEJvBIaqbR_aem_TlRp_51ZhZ7u19Iqa3LETA,Fjordgata 1,9400 Hartad,"16.546574, 68.799057","Oppdag Sirkulærmarkedet i Harstad – stedet der gamle skatter får nytt liv! Kjøp og selg brukte skatter i en inspirerende fysisk butikk, og bli en del av den bærekraftige bevegelsen.",Discover the Circular Market in Harstad – where old treasures find new life! Buy and sell pre-loved items in an inspiring physical store and become part of the sustainable movement.,info@kirppis.no,(+47) 70239202
Andselv El Reparasjon,Andselv electrical repair ,tools,,Mølnåsen 9G,9415 Harstad,"16.558796086636924, 68.74353239582153",Enkeltmannsforetak som fikser alt fra kaffemaskiner til induksjonsplater på stekovnen ,A sole proprietorship that repairs everything from coffee machines to induction cooktops on ovens.,,(+47) 938 22 587
Yuuka Yuuka,Yuuka Yuuka,food,https://www.yuuka-yuuka.com/harstad.html,Erlings gate 5,9405 Harstad,"16.541494276271408, 68.80038630301432",Sushi restaurant som tilbyr veganske og vegetariske alternativer.,Sushi restaurant that offers vegetarian and vegan alternatives.,https://www.yuuka-yuuka.com/harstad.html,(+47) 93932583
HRS Moan Miljøstasjon,HRS Moan recycling station,tools ,https://www.hrs.no/privat/miljostasjoner/,Liakollveien 6,8534 Liland,"16.732509618038936, 68.49192578510461",Miljøstasjonen er stedet der du enkelt kan kvitte deg med avfall som ikke hører hjemme i søppeldunkene hjemme. Gjør en innsats for miljøet – lever det her!,The recycling station is the place where you can easily dispose of waste that doesn’t belong in your bins at home. Make a difference for the environment – drop it off here!,kundeserviceprivat@hrs.no,
